,name,position,team,cost,points
1,Pope,GKP,BUR,5.5,170
2,Henderson,GKP,MUN,5.5,160
3,Schmeichel,GKP,LEI,5.5,156
4,Patrício,GKP,WOL,5.5,153
5,de Gea,GKP,MUN,5.5,143
7,Alexander-Arnold,DEF,LIV,7.5,210
8,Robertson,DEF,LIV,7.0,181
9,van Dijk,DEF,LIV,6.5,178
10,Doherty,DEF,TOT,6.0,167
11,Tarkowski,DEF,BUR,5.5,143
13,De Bruyne,MID,MCI,11.5,251
14,Salah,MID,LIV,12.0,233
15,Mané,MID,LIV,12.0,221
16,Aubameyang,MID,ARS,12.0,205
17,Sterling,MID,MCI,11.5,204
18,Rashford,MID,MUN,9.5,177
19,Mahrez,MID,MCI,8.5,175
20,Son,MID,TOT,9.0,169
21,Willian,MID,ARS,8.0,168
22,Grealish,MID,AVL,7.0,149
23,Lundstram,MID,SHU,5.5,144
25,Vardy,FWD,LEI,10.0,210
26,Martial,FWD,MUN,9.0,200
27,Ings,FWD,SOU,8.5,198
28,Jiménez,FWD,WOL,8.5,194
29,Richarlison,FWD,EVE,8.0,165
30,Kane,FWD,TOT,10.5,158
31,Firmino,FWD,LIV,9.5,155
32,Abraham,FWD,CHE,7.5,153
33,Jesus,FWD,MCI,9.5,146
35,Dubravka,GKP,NEW,5.0,143
36,Guaita,GKP,CRY,5.0,137
37,Ryan,GKP,BHA,4.5,135
38,Ederson,GKP,MCI,6.0,133
39,Ramsdale,GKP,SHU,5.0,126
40,Alisson,GKP,LIV,6.0,122
42,Stevens,DEF,SHU,5.5,142
43,Baldock,DEF,SHU,5.5,142
44,Egan,DEF,SHU,5.0,133
45,Azpilicueta,DEF,CHE,6.0,130
46,Dunk,DEF,BHA,5.0,128
47,Evans,DEF,LEI,5.5,128
48,Wan-Bissaka,DEF,MUN,5.5,127
49,Aurier,DEF,TOT,5.5,124
50,Pereira,DEF,LEI,6.0,123
51,Maguire,DEF,MUN,5.5,123
52,Basham,DEF,SHU,5.0,123
53,Jonny,DEF,WOL,5.5,123
55,Mount,MID,CHE,7.0,137
56,Barnes,MID,LEI,7.0,133
57,Traoré,MID,WOL,6.5,130
58,Pérez,MID,LEI,6.5,129
59,Pulisic,MID,CHE,8.5,127
60,Maddison,MID,LEI,7.0,125
61,McNeil,MID,BUR,6.0,123
63,Wood,FWD,BUR,6.5,136
64,Ayew,FWD,CRY,6.0,132
65,Agüero,FWD,MCI,10.5,132
66,Maupay,FWD,BHA,6.5,131
67,Calvert-Lewin,FWD,EVE,7.0,126
69,Pickford,GKP,EVE,5.0,117
70,Leno,GKP,ARS,5.0,114
72,Digne,DEF,EVE,6.0,120
73,Söyüncü,DEF,LEI,5.5,120
74,Coady,DEF,WOL,5.0,118
75,Lindelöf,DEF,MUN,5.0,116
76,Chilwell,DEF,CHE,5.5,114
77,Walker,DEF,MCI,6.0,114
78,O'Connell,DEF,SHU,5.0,111
79,Mee,DEF,BUR,5.0,110
80,van Aanholt,DEF,CRY,5.5,109
82,Zaha,MID,CRY,7.0,120
83,Westwood,MID,BUR,5.5,118
84,Tielemans,MID,LEI,6.5,117
85,Fernandes,MID,MUN,10.5,117
86,Ward-Prowse,MID,SOU,6.0,117
87,Alli,MID,TOT,8.0,117
88,Henderson,MID,LIV,5.5,116
89,Bernardo Silva,MID,MCI,7.5,116
90,Doucouré,MID,EVE,5.5,113
91,Moutinho,MID,WOL,5.5,113
92,Almirón,MID,NEW,6.0,109
93,Wijnaldum,MID,LIV,5.5,107
94,Redmond,MID,SOU,6.5,107
95,Pépé,MID,ARS,8.0,106
96,Shelvey,MID,NEW,5.5,105
97,Noble,MID,WHU,5.0,105
99,Lacazette,FWD,ARS,8.5,118
100,Wilson,FWD,NEW,6.5,116
101,Antonio,FWD,WHU,6.5,111
103,McCarthy,GKP,SOU,4.5,104
104,Lloris,GKP,TOT,5.5,98
106,Saïss,DEF,WOL,5.0,103
107,Fernández,DEF,NEW,5.0,102
108,Alonso,DEF,CHE,6.0,100
109,Alderweireld,DEF,TOT,5.5,97
110,Boly,DEF,WOL,5.5,97
111,David Luiz,DEF,ARS,5.5,94
112,Gomez,DEF,LIV,5.5,93
114,Rice,MID,WHU,5.0,105
115,Jota,MID,WOL,6.5,105
116,Trossard,MID,BHA,6.0,104
117,Greenwood,MID,MUN,7.5,103
118,Fleck,MID,SHU,6.0,101
119,Lucas Moura,MID,TOT,7.0,100
120,Dendoncker,MID,WOL,5.0,100
121,Trézéguet,MID,AVL,5.5,98
122,Norwood,MID,SHU,5.0,98
123,Armstrong,MID,SOU,5.5,98
124,Neves,MID,WOL,5.5,97
125,Sigurdsson,MID,EVE,7.0,95
126,James,MID,MUN,6.5,95
127,El Ghazi,MID,AVL,6.0,93
128,Fornals,MID,WHU,6.5,93
129,Jorginho,MID,CHE,5.0,92
130,McArthur,MID,CRY,5.5,92
131,Rodrigo,MID,MCI,5.5,92
132,Saint-Maximin,MID,NEW,5.5,92
134,Haller,FWD,WHU,6.5,102
135,Rodriguez,FWD,BUR,6.0,100
137,Arrizabalaga,GKP,CHE,5.0,90
138,Fabianski,GKP,WHU,5.0,83
140,Mings,DEF,AVL,5.0,90
141,Keane,DEF,EVE,5.0,90
142,Webster,DEF,BHA,4.5,88
143,Burn,DEF,BHA,4.5,86
144,Stephens,DEF,SOU,5.0,85
145,Taylor,DEF,BUR,4.5,84
146,Bednarek,DEF,SOU,4.5,84
147,Otamendi,DEF,MCI,5.0,82
148,Ogbonna,DEF,WHU,5.0,81
149,Targett,DEF,AVL,4.5,80
150,Aké,DEF,MCI,5.5,79
151,Cresswell,DEF,WHU,5.0,79
152,Bardsley,DEF,BUR,4.5,78
153,Mina,DEF,EVE,5.5,78
155,Harry Wilson,MID,LIV,5.5,91
156,Douglas Luiz,MID,AVL,5.0,90
157,Snodgrass,MID,WHU,6.0,87
158,Kouyaté,MID,CRY,5.0,85
159,Ndidi,MID,LEI,5.0,85
160,McGinn,MID,AVL,5.5,84
161,Hourihane,MID,AVL,6.0,83
162,Milivojevic,MID,CRY,6.0,81
163,Mooy,MID,BHA,5.0,80
164,Pröpper,MID,BHA,5.0,78
166,McBurnie,FWD,SHU,6.0,86
167,Mousset,FWD,SHU,6.0,84
168,Joelinton,FWD,NEW,6.0,78
169,Adams,FWD,SOU,6.0,78
171,Pieters,DEF,BUR,4.5,77
172,Ward,DEF,CRY,4.5,77
173,Diop,DEF,WHU,4.5,76
174,Bertrand,DEF,SOU,5.0,75
175,Mendy,DEF,MCI,6.0,74
176,Fredericks,DEF,WHU,4.5,74
177,Lascelles,DEF,NEW,4.5,73
178,Holgate,DEF,EVE,5.0,71
179,Cahill,DEF,CRY,4.5,70
180,Shaw,DEF,MUN,5.0,67
182,Fabinho,MID,LIV,5.5,77
183,Groß,MID,BHA,6.0,76
184,Chamberlain,MID,LIV,6.5,76
185,Højbjerg,MID,TOT,5.0,75
186,McTominay,MID,MUN,5.0,74
187,Ritchie,MID,NEW,5.0,74
188,Xhaka,MID,ARS,5.5,73
189,Hayden,MID,NEW,5.0,73
190,Fraser,MID,NEW,6.0,73
191,Bernard,MID,EVE,6.0,72
192,Saka,MID,ARS,5.5,71
193,Cork,MID,BUR,5.0,70
194,Yarmolenko,MID,WHU,6.0,70
195,Foden,MID,MCI,6.5,69
196,Sissoko,MID,TOT,5.0,69
197,Kovacic,MID,CHE,5.5,68
198,Hendrick,MID,NEW,5.0,67
199,Felipe Anderson,MID,WHU,6.5,66
201,Giroud,FWD,CHE,7.0,68
202,Wesley,FWD,AVL,6.0,67
204,Heaton,GKP,AVL,4.5,59
205,Gazzaniga,GKP,TOT,4.5,58
207,Konsa,DEF,AVL,4.5,65
208,Manquillo,DEF,NEW,4.5,65
209,Kelly,DEF,CRY,4.5,64
210,Sánchez,DEF,TOT,5.5,64
211,Rüdiger,DEF,CHE,5.0,63
212,Laporte,DEF,MCI,6.0,63
213,Guilbert,DEF,AVL,4.5,62
214,Montoya,DEF,BHA,4.5,62
215,Zouma,DEF,CHE,5.0,62
216,Cédric,DEF,ARS,5.0,61
217,James,DEF,CHE,5.0,61
218,Sokratis,DEF,ARS,5.0,57
220,Gündogan,MID,MCI,5.5,65
221,Lamela,MID,TOT,6.0,65
222,Stephens,MID,BHA,4.5,63
223,Walcott,MID,EVE,6.0,63
224,Barkley,MID,CHE,6.0,61
225,Pereira,MID,MUN,5.0,60
226,Davies,MID,EVE,5.5,59
227,Ceballos,MID,ARS,5.0,57
228,Kanté,MID,CHE,5.0,57
230,Origi,FWD,LIV,5.5,65
231,McGoldrick,FWD,SHU,5.5,65
